,lipid_id,lipid_class,total_length,double_bonds,neutral_mass,pos_mz,neg_mz,sodiated_mz,detected_pos,error_pos,intensity_pos,detected_neg,error_neg,intensity_neg,detected_sodiated,error_sodiated,intensity_sodiated,single_pos_hcd_present,single_sod_hcd_present,single_neg_hcd_present,pos_hcd_headgroup_confirmation,sod_hcd_headgroup_confirmation,neg_hcd_headgroup_support,neg_hcd_chain_pairs,neg_hcd_chain_pair_intensities,single_pos_uvpd_present,pos_uvpd_headgroup_support,pos_uvpd_chain_pairs,pos_uvpd_db_localised,pos_uvpd_db_positions,single_neg_uvpd_present,neg_uvpd_headgroup_support,neg_uvpd_chain_pairs,neg_uvpd_db_localised,neg_uvpd_db_positions
0,PE 30:0,PE,30,0,663.4839059999999,,662.4760809999999,,False,,,True,0.12186069752540096,4.844946422110566,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
1,PE 30:1,PE,30,1,661.468256,,660.460431,,False,,,True,0.21537152760402395,1.5573063753922523,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
2,PE 31:0,PE,31,0,677.499556,,676.491731,,False,,,True,0.9948641515748358,0.18360836707101438,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
3,PE 31:1,PE,31,1,675.4839059999999,,674.4760809999999,,False,,,True,-0.34472689993915073,0.994592145663721,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
4,PE 32:0,PE,32,0,691.515206,,690.507381,,False,,,True,-0.4044945195647477,9.435228931708341,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
5,PE 32:1,PE,32,1,689.499556,,688.491731,,False,,,True,-0.1456669038939119,34.42986339978686,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
6,PE 32:2,PE,32,2,687.4839059999999,,686.4760809999999,,False,,,True,0.4546319272190632,1.953601347137421,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
7,PE 33:1,PE,33,1,703.515206,,702.507381,,False,,,True,-0.3370499307245727,77.83592910810746,False,,,False,False,True,False,False,True,['16:0/17:1'],[100.0],False,False,[],False,[],True,True,['16:0_17:1'],True,['17:1:cy-9']
8,PE 33:2,PE,33,2,701.499556,,700.491731,,False,,,True,-0.26174404645288485,2.629522207213358,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
9,PE 34:0,PE,34,0,719.546506,,718.538681,,False,,,True,-1.0306213510131204,0.6410859271723629,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
10,PE 34:1,PE,34,1,717.530856,,716.523031,,False,,,True,-0.25795080142518956,100.0,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
11,PE 34:2,PE,34,2,715.515206,,714.507381,,False,,,True,-0.5824807502654201,27.31363531417486,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
12,PE 35:1,PE,35,1,731.546506,,730.538681,,False,,,True,-0.4680463971624399,17.781416781990114,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
13,PE 35:2,PE,35,2,729.530856,,728.523031,,False,,,True,-0.7646955578546077,27.85785933401941,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
14,PE 36:1,PE,36,1,745.562156,,744.5543309999999,,False,,,True,-0.7645455555078156,4.501038966889618,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
15,PE 36:2,PE,36,2,743.546506,,742.538681,,False,,,True,-1.236144980818258,81.83472683476907,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
16,PE 37:1,PE,37,1,759.577806,,758.569981,,False,,,True,-1.4060666676652709,0.19300813910189898,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
17,PE 37:2,PE,37,2,757.562156,,756.5543309999999,,False,,,True,-1.0852733071797065,7.972010189759278,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
18,PE 38:1,PE,38,1,773.593456,,772.5856309999999,,False,,,True,-0.9591417864916707,0.1771933261511345,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
19,PE 38:2,PE,38,2,771.577806,,770.569981,,False,,,True,-1.4180458462915335,1.5438815470400002,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
20,PE 43:2,PE,43,2,841.656056,,840.648231,,False,,,True,1.2871268540667242,0.17256105371286362,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
21,PG 29:1,PG,29,1,678.447187,,677.439362,,False,,,True,3.421383149314522,0.2805744581499069,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
22,PG 29:2,PG,29,2,676.4315369999999,,675.4237119999999,,False,,,True,0.49887769809868415,0.2197721721059915,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
23,PG 30:0,PG,30,0,694.478487,,693.470662,,False,,,True,0.16130784604271936,0.6797954287568578,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
24,PG 30:1,PG,30,1,692.4628369999999,,691.4550119999999,,False,,,True,-0.20338449273765524,0.31817890806586036,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
25,PG 31:1,PG,31,1,706.478487,,705.470662,,False,,,True,-0.2582852617084093,0.16054592307562357,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
26,PG 31:2,PG,31,2,704.462837,,703.455012,,False,,,True,-0.7139746613923204,0.2142817241694248,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
27,PG 32:0,PG,32,0,722.509787,,721.5019619999999,,False,,,True,-0.9863100065630831,4.128701143567485,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
28,PG 32:1,PG,32,1,720.494137,,719.486312,,False,,,True,-0.874166421538656,13.885891906616868,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
29,PG 32:2,PG,32,2,718.478487,,717.470662,,False,,,True,-0.8374400190033655,0.8924661680247381,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
30,PG 33:1,PG,33,1,734.509787,,733.5019619999999,,False,,,True,-1.2989383627974378,28.57078173107651,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
31,PG 33:2,PG,33,2,732.494137,,731.486312,,False,,,True,-1.154855413131499,0.872786960050456,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
32,PG 34:0,PG,34,0,750.541087,,749.5332619999999,,False,,,True,0.5551149910689066,0.22736130808289493,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
33,PG 34:1,PG,34,1,748.525437,,747.517612,,False,,,True,-0.7737646393400746,69.23173466643954,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
34,PG 34:2,PG,34,2,746.509787,,745.5019619999999,,False,,,True,-1.586904243242411,12.00938730517611,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
35,PG 35:1,PG,35,1,762.541087,,761.5332619999999,,False,,,True,-0.81877184831954,17.87746490671119,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
36,PG 35:2,PG,35,2,760.525437,,759.517612,,False,,,True,-0.6605558299720083,12.06846974818427,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
37,PG 36:1,PG,36,1,776.556737,,775.548912,,False,,,True,-1.2777925637386738,3.3465776388421578,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
38,PG 36:2,PG,36,2,774.541087,,773.5332619999999,,False,,,True,-1.6699330204514584,66.8705627455756,False,,,False,False,True,False,False,True,['18:1/18:1'],[100.0],False,False,[],False,[],True,True,['18:1_18:1'],True,['18:1:n-11']
39,PG 37:2,PG,37,2,788.556737,,787.548912,,False,,,True,-1.6934868346663345,7.232081516666408,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
40,PG 38:0,PG,38,0,806.603687,,805.595862,,False,,,True,0.6851802693431204,0.17145959032078456,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
41,PG 38:2,PG,38,2,802.5723869999999,,801.5645619999999,,False,,,True,-0.6604002406582139,0.9994825402881232,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
42,PG 41:1,PG,41,1,846.634987,,845.627162,,False,,,True,4.603267640456717,0.18349757044262383,False,,,False,False,False,False,False,False,[],[],False,False,[],False,[],False,False,[],False,[]
